,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
51,19.035325,-98.2679176,4,2.0,2,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,9.0,28.5,2.0,0.0,2.0,1.0
52,19.0405619362,-98.195357721,2,3.0,5,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
53,19.0409324,-98.1956504,0,0.0,2,1.0,1.0,2.5,5.0,3.0,1.0,14.2,1.6,9.0,28.5,1.0,1.0,2.0,3.0
54,19.0411925,-98.1957911,1,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
55,19.0410812934,-98.1968178758,0,0.0,5,2.0,2.0,2.5,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
56,19.0410918637,-98.1959696755,0,0.0,5,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
57,19.0415447381,-98.1953916586,0,0.0,8,3.0,1.9,2.5,3.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
58,19.0418857,-98.1936643,1,0.0,2,4.0,1.9,2.5,1.0,4.2,0.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
59,19.0419216,-98.1937059,0,0.0,1,1.0,1.9,2.5,6.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
60,19.0415702934,-98.194872076,0,0.0,4,1.0,1.9,2.5,10.0,4.2,1.0,14.2,1.6,9.0,28.5,7.0,10.5,2.0,1.0
61,19.042167355,-98.1941749299,0,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
62,19.0418881085,-98.1936908041,1,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
63,19.0434164641,-98.194669784,2,1.0,1,0.0,0.0,2.5,1.0,4.2,1.0,14.2,1.6,2.0,28.5,13.6,2.0,2.0,2.0
64,19.0426957924,-98.1937826886,0,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
65,19.0431018,-98.199479,0,0.0,4,0.0,0.0,2.5,7.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
66,19.0434088,-98.1992462,4,1.0,6,0.0,0.0,0.0,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
67,19.0433357,-98.1993241,1,0.0,2,4.0,4.0,2.5,5.0,1.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
68,19.0437893,-98.1990342,3,0.0,10,50.0,45.0,2.5,8.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,100.0,2.0,1.0
69,19.0352252,-98.266924,5,3.0,0,3.0,0.0,2.0,3.0,4.2,1.0,30.0,2.0,9.0,28.5,13.6,10.5,2.0,3.0
71,19.0236257061,-98.2499046251,1,0.0,10,0.0,0.0,2.5,1.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
72,19.0221603715,-98.2495059818,1,5.0,8,1.0,1.0,2.0,4.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
73,19.018705,-98.215739,2,0.0,1,2.0,4.0,2.5,1.0,4.2,1.0,14.2,1.6,5.0,28.5,2.0,5.0,3.0,2.0
74,19.017211,-98.217502,2,2.0,5,0.0,0.0,2.5,20.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
75,19.021284,-98.216883,0,0.0,0,0.0,0.0,2.5,3.0,6.0,1.0,14.2,1.6,9.0,28.5,0.0,0.0,2.0,1.0
76,19.019019,-98.218655,0,0.0,3,0.0,0.0,2.5,1.0,7.0,1.0,30.0,2.0,0.0,28.5,0.0,0.0,2.0,1.0
77,19.01854,-98.217874,3,4.0,12,3.0,2.0,5.0,1.0,4.2,0.0,14.2,1.6,1.0,28.5,1.0,1.0,2.0,3.0
78,19.020451,-98.215618,1,3.0,7,0.0,0.0,2.5,1.0,7.0,1.0,3.0,5.0,9.0,28.5,13.6,10.5,2.0,3.0
79,19.016776,-98.217554,0,0.0,12,1.0,2.0,2.5,2.0,4.2,1.0,14.2,1.6,9.0,28.5,0.0,0.0,2.0,1.0
81,19.0194537,-98.2614091,3,3.0,2,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
82,19.0193679,-98.2614787,1,0.0,1,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
83,19.0719291809,-98.1670391187,2,2.0,0,2.0,1.9,2.5,3.0,2.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
84,19.0718784813,-98.166975081,2,9.0,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
85,19.072127543,-98.1666931137,2,0.0,9,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
86,19.0722007405,-98.1664215401,1,0.0,3,1.0,1.0,2.5,3.0,1.0,1.0,3.0,1.0,9.0,28.5,13.6,10.5,2.0,2.0
87,19.0724183,-98.1662846,2,0.0,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
88,19.0724726164,-98.1662518904,2,1.0,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
89,19.0725629248,-98.1661503017,2,1.6,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
90,19.02818,-98.248065,2,2.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
91,19.0731782877,-98.1655820087,1,0.0,12,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
92,19.0281426,-98.2479993,2,1.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
93,19.0734498452,-98.1652718782,2,1.0,0,2.0,2.0,1.0,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
94,19.0264402,-98.2503433,0,6.0,14,0.0,0.0,0.0,3.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
95,19.0734732935,-98.165335916,2,0.0,9,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
96,19.0736675345,-98.165345639,0,1.0,0,0.0,0.0,1.0,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
97,19.0738560715,-98.1652105227,0,2.0,0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
98,19.0738966307,-98.1652306393,0,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
99,19.0718272,-98.1667071,0,0.0,8,1.0,1.0,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
